6469,0,6469,6469
6469,1000000,68887871434223804534152001596474510714548901975251090297581180562947948239262386508096986626057585685923639980109396528702280567299276695851560611121696833444565032571545644443270586005478857942638088686741839943110027336351028201557993165094237837915668106371709959908196631918480792887040776863139717616479199343411909669283512634780613045083071954205116217196654380223993966786446284038230221002896623406330821132226183976066903863463685,1077571574225319318179319235860639466081488243637934382599113239323469332733819097190397459561720972202012465773354451512726864705347726134812946408397732840290344892998884868644177791340855353094912401763219758701368951515706852015679440362242679088167574757987218263767223861405809385708309301101308275030587727663177545911957420673691605300418933798451919448302972893600432712803852648725871483774387889172658113981212843620702295648667426057723501577480210019816322805543968841918692483324366849063257080048410012563370248846165819576941071264355015635683077178035423831084183895247091501305574881753848002966348747173635201989602590996483780038240695610724662726727342975869682130243938456866088903689098458
6469,2000000,58847190367017445833258712083793837801801895856434903019104813193909799555916991711350476066904027740816888220192971622012948346158871435410848435802299282601071548216099810952207191114194032684891285473543229682500366145547553954990872668493500351091542142750034655761169503771820758895683901784229981647076356359639985329098809375879418402675661805719687356930507490736181571561680055162192366928378281557188092219964055137798868084995206511474265077812376856364131393434540509532721531647074209394908352492197949515115744178170640872869325761341460278098579434436608498978260285470324407555029683926300548222063995002203692022247697130478114708583000909980574533343253613164798389105132505841901397163261157940366176808517122761296769321276652325201257241887319656213643050956637334568119052094202289406251332670409291320229383252282688278473894728961465544554428979499987829811250633400002713152166274907086999761789582788714474418313900607160557609439728160833850602168897454756431669015145286546742343596094802056397776981704575237944969489516056376557180008588107557655265458952718616416550191774174719853444044043349500014469846442719267062151360291875530506850432430873118803855167639412562691872237311577263770882263238845179364737338218808154820583799710917,1872555268592444970742411271286734148235750585323086369592459617402098750286498697286162382365271926423871677524287084359560170764355731199596614283103785503121662426463475918511281101981655914554028245165085882518189273702505176490219920653343583258494791852522383678730206173991375953392396594928845214494540375373401783253148329371281139094456734791729949481465799716102066043145003933273807876969490600810964331538344523368242193228479971486030043788612485650421410763701339482840277835163663878997777483781764211498527072650609770719680872714458908982915873738320511742179226642260877239078628041093257369092123510160794156416304550450670051702498250969638835346937704902687073173016512194967257747783218999989995646459816662965097115120077491186459794906003044444467211484392444686126043201508769662978245242308769075233628367922270490894210491420109420210687321845092189690674596362303037854970725372081109011924249690406379345510384396776060991970922671489599896338945412694618818511212211419948423360202039544355477339898483338892690526182396784676018857174173071642736159213098387809154330634341578368542746071300311398867112418399870012162401036199191677752707887552400783835806908078543253844349051519328682202087941587872261512913839275511067865612452443791784838533405252756754764230993206694084420254777948636351829409995954924743745295689708457258301342729515355208946694420457600
6469,3000000,10193000421523552081709861109087425802531210508415520833250342582880769070980045466032456353003592712564404346873174836323876369259360064416816165362541773419557834085188533674643464743484472928618129903893828377004653267068330378892230561060950691060553514886196276774210851266746542350345069553539431901291335500972498980040521659678875407606692540795341639394113589100695706140437287367068841939038626427965237830565149173850417188558435752978935188387877194772336734041745927415329718169834128421933549178915387834697578035135716303959629239377982259237346764469220980017655031460959558421251019358811905438356421040622293012449599094728903517577283118019341634229784470622076059964535046703058658547708464353269607630498530561031533993936813328919002861789937132947964120185741412291257927752320362129409514107059028146129204552619352138266408983523396569457681497623747351027448245646860361792184188196392831770219774488810289702008949802703455675937081153891407039571819142833501250199230124271403469401182108292418493872677087399816876290530206564372602201031342414410770031726767160643198183396395859475456392852074076832856562156473670006363501820347463717170958039316151610328724098809004158839241200278015822986549400431023463591090739817864235604763041554947005763231398536077170754164571471655557054503935690566044091364902392389741955215940297386891909,506681204413124026682790111647882454649606509536589925098789846377667442212093862763849491982355798430043724640446038583752866856080806915512765220288990259017654740583681369876898993849146681880843097871602768808646574364367554022228921100097727815010592142699128109615298933712763970563564912452168148293402638175799708886873679065906445136905716718476581403588799836303455329167788675600951804150898309302228212861318747753440258433823828422366761837686719195536538773660866481778989549840548156979937164450068148559028807453496096214373002371654968902908913670037134690077960629227196057730975512589064691310135085489992062071051745663680967840430905663317798372557716891937003706705820226866610338024013559810001594669122789855327791959950516163758728324194905477193284267493500134830472053445933810405217587576744855548638234238334899274797353340231234427403951727167537746514422564049297955959582617405395542105939476717793791526773703608149852380609609509718811120202198130426869044755340068138097898647567389349683270720314991457682877928248588913822665329196827087700798908906246444552321747231323611148105568867338668243285223462333787977402762208186737186095081536719602198473087203218353264241243506380840955155393946005476465409315330144236197778679246655550931991448440228411885155732154218371736977567531769649293637138246252073078703434309698441322004006336877097324560560957278329944263993463347575536087374359938367515227350015750583604841410274532349608316914952816844971571558660058813362323578182766244367975930388471624241318184334450570483334298768811432664930
6469,4000000,2361264113652114064185939391109651518175439432774900202953401134166327566966112005056047195683909286999954415934743102746689038858990584170014083003427688888502180246480411218887693667106853198731968113471797310414210357466268610223389814451141303893037773410274798862234620831642846589130299576743562372428003148409962110980480357819719984162186445534733353722779638688661061474023029456736275570079487703741917811356478429473152078337024861862536423679975055783541718401152209725640558829152104835742436193977996746315769241275758673727347242869505588910437846893661648845995433081218664377742959589324670218276715279272631056469866280351307670223590158395048782693229547538135262077877119231408767102061554029272689419791980445985680689235784670176071537049416106754842148934547996133801559043263915260542304017342996905658223744086589694755373243647719548629638062234374899542105338155971075145360321714596309445687624853971307965326746580996975357876691566675004435600567662719314295409910559656879108691599369622973701522248350682548044552568884306346832708916142475667492084432905550276064231042019527113431520046225723042517434955356621129620596600624085774200157392922980368370325089103722934620405538459042769172831731336194935984854609494317076700559098573569033133392141316241365171354741763739761051646851585261426068423063229201499914637599636914250314931070133302742576244799777865096518705294106705175048307917477982930218407102379553589980638605487614934453133989745345972563546378947612935877062649312481341848386562990486221194601598852943970516744886720176238358052862938906408794429748658011029040367614208469526066216140107382241082220797443807123942898350032387061695287154446818401008137355890690982828276250180490472902286258532499915776756987233891652708609337903174076027287746272670185326229098665339432574618162532278107545319209044956912784908975714373,17135047376635378965971050095632766762704657448859546331632811061414793957751977710545678635117390807811323415313685613425039883747662802343715228126540514834219171807406019263434305171477784438805155042971440492428207491717324043276776831910776283383826192719245600324571021317885864663835670268327845235160276347332859556196166429112586337861491508416083468729715270318608050592712558267490641531904315361795825573462796667371059379682856995406664296472905552879879522865328997796816725833287991898815295346131245168637598837812597873528755812537892073071852035303747724844576086572719458681760500018037838579478952836220427565851443777087586860747721985381217684628001711542966816431803593021198681908380137021059017178166310620894771959218981130675167468317015735342720006048970108525948307892298067365754771778453380081300802876797157647567000796865390737338243037796697826330165732986688988601468008782677822585141073208339626755546999267166083553080701250794490187567892421210662424728187779489948500134427495111152587601274569630392846108918055049512892111177458394489502756295475822890162979495481158956114684556296793556961977314435887312024800446635862207532889958671012124263649704881770351938834231140708921961778920301681217797925410364325873232365468364826294043343093064505265961833613810474917613039718759030368158697936525890243678275013971074954283708379380839928176463969621054846565650538948225764293809664195536151769950447100919513425024844958153810032486529691277724486928530553853529229342774884508683714832482937555229702242066044623529396596788569990621528657840928850967601961853841997034011986769729837871868910373546707725607014159917697668302943264377924389076035279319293325905828063708281656837985690746936039251194857840797771565309668051890216097803774144338133194254477551214959608752315534112936845226093353188447488637279247162828035121614935163057602673272772134869687253254614751089231287966271270076186
6469,5000000,2883237904994103590608370302840180000875050504331636060173706786258935372797282809503278542758829451813328919142590716888103358631484195514590215680942011041357395441004353164254102057406438771337560545896402251777718681465451589475769921779087066207360105399809359902803251566655999971121028971144872734510438417296794707895151552075224787547974910511794485799449289582303828706953034056650633964216961316376426238483183358618699303440161589675913527010178082180832010218204754564118386659642420142119736511308163577139603633544004917714958757006250676272299862681811549726881653159113400725038428065377870304802164524576219751571737148894802465090537958336060116487208477686967479464103729717532536991567218686135140601313577926695662010963795582792356117153912053129024910298552851904762887269277924681915502776489087971251869049957257259249134085901537184905934458308665496062168660323164899467487289710069045565319202654052777805557671609066418775112195258283325964569727079179682105837956425837731246218091532941323527609934064821480070957195480654534455264031207103908656024107645104940704340985075440600366614383278840076398688760758617667902117826957598083482269913161913207709826084712463011259388429492186768411561625453984649806968936079297087468598362881679780761964609026427334187886741689356613217729219751423145541715331031950160431046769111016977536659953032043308174636343954936172985671014102899165394572552464377141236365207105896653243851573166112934685137246788767443767463102101367305145767969451565898609594648105154861720335213216693794185823174334491956928890572018032501520918037365004648144360982443186735581373734593480394839438782288803219380386943449542325843464491233164396057038561545514051245105783035687797267744370513678006999667206131292794059071712667343669491941858555757758175509780817233159685,6761982662954536428371185309043984760253151550584347377512187239091944749785177470235126068082734006637633499845640319764243360079163280158480072008202529876168087131779944461915253581228260475244363691110036406217963090046744047880309246997034190588656856714640479921620768398252845066821696588405644134105530772240568392786192566583436501473978156762526095417034150149201242862416728957752058666453310225935274761374202762410191004575556734784370841201844631549544009185996010555032367413933213500788398825569231331386593385821846594985233019756166769583960269369435277730915937160642049628310673008788589986935389146514892525131547830344312482495920895970424618071881128569437838021987558408334346110901553506639210633776729156160440505513145253932853858235065538483037023623717946937676897897943627183908834277759362005649684587467683953601242596462907477096453000787484941350046219378126776527895032688225532416666522607648553844091044840038127808865079700190972799503251835690551537642722324379780634339681841190270189693738806840465131940817591698270839411823535497717769926931752186598398725619702338961285536701280359096664088354811313632935691391204202464366294095820341969956007245139717558014214524744867666821990897961936458386886515217434534231164848537342699637893358378258469766375818724772564829766485056826613518540314338795049161591210493614114584093390347856010533011917149911168602852374089391067063806166445990006845157735691671007376737202405857092101387477843355786776470686278053250067269910654003351754197278465523675191515753715951429237549000176199901245345009942924093843600477773066026882152212371780952118136662804486483304361962995523269538829539899355729839945417711607125897283867856859080903420808925075392449770802962137008121810967726218662289480608556077748634195078948175044394799221982031797438417240209440225017256643400927297959623813655213153230531115576550632186257046982373803424882507592778018168018746339815786891293223836677998157456360902964047210767668253836
6469,6000000,99328649943026259607801922957997500505063040170279256229202940269571531288795301786244179998718222075578395365933914716298674455072722970989809298617340084590830958604476529714323405656979389205622425386846406253953656730347545921578727489149171699998817877394928951833774208103263514612882828186223660243607337449741591133020492363010591155013979068564126347459448507229892883876985975913897159771894328607816158156151950979102893878812132025986787405413275057334518926166944200043041708642548376872207092553386849596194511032141158282451638189797207573737945910530234369310539119444563027174099084183306571258671410361910219648125564401273773019705880302559240324485989157806160916959404642815985843266655687645140976314655668110043818482781481204019672248114655788934526338008819216338777847458568319142432977174706960054165340262975447917608829314660958751726722184959074740557913290314757916907976637679265951083635764799495788480245610576472700130405566487025291995403201910698306847497376268317272388442689405148532604415745233726373467578869179203601539558683077172830256680209521859716853180935207655541162729160351513478328263535079335082811752781763307320213500647369386443233907304512767146025867465867600853367346361848081699071215732430538078212816971070385961447516874091919068734483135463363413499736557788996232468889633288861131188823919273428415030095674970894201066238669554630167938074871969825865713273816357045297346848759033715282158864275061073392630341545597552289053034340102613162575653861764406492591561941883016706920700074754339191649630466243993825749041882710034547651188840618018384473390112722182299699661613764135224723837255909603602524127852484324402417225060884500846600469870725293842458917846541004583835191920641394320464218248256991451957691232891064023951398639413754821,2718957053856623450881627260716885276680194450489680899912866571525603001597702118425815018259799729077383999956287944478975896645807553050100704101425626246258110304493921809095961116778450876665439855428763713023267189241791148613193824153586017773239062810962913871914869846936628630041068403537879973528343803012845985958534310724852073031206887130992123813863706717622651929986942023782262638033261585407137044550546719687318127178922581794146134734957040683865417211342543104422322982881331517345846385836696407240083830327512476036889740281284779550173879084848076124284012913236091366786541992494684717819109124825093559899764072394691958607568388248254144866638080004290092576258557785110999375432437741410378444228410098455271933513973259137800052502344477568159152083545233613057976818842431542205989829391827059427062387185104125361994814408143284230987361159329501265586747839184822062239408295753139117276618777979883758276475367199482925480235136940608044725758019222624380491646374202755614186016981440331125068817862812909070059701030288277341110221973749863516064794163855156303661556023335541006203508693248303640386657340175591685974396339782967307294714350816797891229079900135136845835869668920407071730873744343082187585334885727277126461198701707116862506293768877160078606518631461311645613748564839693710005273523740037654624879351522107132462370551007170598129149944901245565774544797135284882296486490726382002527525516715794629390104356214926908162231721094458130001293986466201572154953009371883578431994002712626939442311347641996302147836411932929143685811863332876378623021436075361332269377225823105488317327993543363934571218716957646451416021620067218414665189297536225522111929809382391127582601728673241092509700743940691036569073299679353355409846557542569752462475832017224505608170635738987957683321980985358718896501317706849789109575255169869513123863577100933449191207581808521664977921620102984196891531753973385983872955846040596893062975238037534463688184272670666582211018097826558648049423696433261151085380657949413974332450641429454341341048199173585427579075689810601316927879221083910812775260570220684755041185810
6469,7000000,2469095977503763849088608355630334881075698447304816910084147568945916226087842292963463323532638607311369480960211781698762063503255126632201417292148223208984119088385997448711390485966607829780089531320226614731513950636842254149012384676908497679170579596617799077314606500206478815395011146242595752166145254420712534378788018359882397638478510165641616392000010566151460779825839014359528125901986061850540699555839368072166085568709122531873992421917898684987926909667252283066996493129683359995750785003558050625581118269651335534566782907577840785676849299489943486061197570420227497941373650973351483569233763780672138226426064772657384603373861276495649036846823865293217591104272907235619892697855963511157708286871032878109800022591374480961584971762704010382321536880973856130673461001959697383338497347223924704552666909659343409543820753764528422469326415109217048174162551596503524618408088723334837593968274230209144183983003798224849746922669622916533269132871216883638171537634055713105186793185252946607278551595202538100405741915528068016924447069191813525673538810339227374566010687413004271402496353554449856237090921784129806979009766348634377537795424591152548866297834435238923534768187586463325822010544275514463274863864491378546410616451661111759905822569097321859604361558608506128873966212367166009736512627019934910677970002751473026345779662506815377388701163437367248659798534331912759185791053624124445433945888512942404969666484553953669,2718957053856623450881627260716885276680194450489680899912866571525603001597702118425815018259799729077383999956287944478975896645807553050100704101425626246258110304493921809095961116778450876665439855428763713023267189241791148613193824153586017773239062810962913871914869846936628630041068403537879973528343803012845985958534310724852073031206887130992123813863706717622651929986942023782262638033261585407137044550546719687318127178922581794146134734957040683865417211342543104422322982881331517345846385836696407240083830327512476036889740281284779550173879084848076124284012913236091366786541992494684717819109124825093559899764072394691958607568388248254144866638080004290092576258557785110999375432437741410378444228410098455271933513973259137800052502344477568159152083545233613057976818842431542205989829391827059427062387185104125361994814408143284230987361159329501265586747839184822062239408295753139117276618777979883758276475367199482925480235136940608044725758019222624380491646374202755614186016981440331125068817862812909070059701030288277341110221973749863516064794163855156303661556023335541006203508693248303640386657340175591685974396339782967307294714350816797891229079900135136845835869668920407071730873744343082187585334885727277126461198701707116862506293768877160078606518631461311645613748564839693710005273523740037654624879351522107132462370551007170598129149944901245565774544797135284882296486490726382002527525516715794629390104356214926908162231721094458130001293986466201572154953009371883578431994002712626939442311347641996302147836411932929143685811863332876378623021436075361332269377225823105488317327993543363934571218716957646451416021620067218414665189297536225522111929809382391127582601728673241092509700743940691036569073299679353355409846557542569752462475832017224505608170635738987957683321980985358718896501317706849789109575255169869513123863577100933449191207581808521664977921620102984196891531753973385983872955846040596893062975238037534463688184272670666582211018097826558648049423696433261151085380657949413974332450641429454341341048199173585427579075689810601316927879221083910812775260570220684755041185810
6469,8000000,17759166309245113388464206731987678951182561626347299393932327966535588613444321728307562596209726153457792402139670351233730019598656640221172596969597397256904047605834422599305422678355357651804328438582651762313586395827625287312416652989424396594823278171557162828788663563444918943115099359450548568114721675264453251789898421789210131908275009748733468184667945428087952934673698386386559928730665458259008736206798907720533107052528438569164926912664762163315853588731276977680547030147661491618680926179541770476763329126039381209642002997562120585854557918740859046653434679993615642767674049604537900211780151086644545877655251307876729672289615782048224869933903880606310784755909176188417154788600780762138230555567611091878695695240758126294736663729736325968886134218169621890044057639175107106698035819640476877852507030231075655499336265692843015801340206534213684585829380570467967595581374199611031906142534144150060152574457427072071017323083316815955413789842877300663967908977541640542717792961529247552969038413867738579291727309213572666752813301808026637698007447739668968978537484563636696850261807154168823356035680316025305545205896134512086327652625035338827392049813604404246396629658933194842027987707427947675515333018958738388533964826957711190507461237351950654495127410027113980703784831843080419291901061531457569537351585272346348653184290726938870918790872868381489652542785491129932099858637591424990435828230688660911920126136699283622936287468736920987765148087744342853675321116485,2718957053856623450881627260716885276680194450489680899912866571525603001597702118425815018259799729077383999956287944478975896645807553050100704101425626246258110304493921809095961116778450876665439855428763713023267189241791148613193824153586017773239062810962913871914869846936628630041068403537879973528343803012845985958534310724852073031206887130992123813863706717622651929986942023782262638033261585407137044550546719687318127178922581794146134734957040683865417211342543104422322982881331517345846385836696407240083830327512476036889740281284779550173879084848076124284012913236091366786541992494684717819109124825093559899764072394691958607568388248254144866638080004290092576258557785110999375432437741410378444228410098455271933513973259137800052502344477568159152083545233613057976818842431542205989829391827059427062387185104125361994814408143284230987361159329501265586747839184822062239408295753139117276618777979883758276475367199482925480235136940608044725758019222624380491646374202755614186016981440331125068817862812909070059701030288277341110221973749863516064794163855156303661556023335541006203508693248303640386657340175591685974396339782967307294714350816797891229079900135136845835869668920407071730873744343082187585334885727277126461198701707116862506293768877160078606518631461311645613748564839693710005273523740037654624879351522107132462370551007170598129149944901245565774544797135284882296486490726382002527525516715794629390104356214926908162231721094458130001293986466201572154953009371883578431994002712626939442311347641996302147836411932929143685811863332876378623021436075361332269377225823105488317327993543363934571218716957646451416021620067218414665189297536225522111929809382391127582601728673241092509700743940691036569073299679353355409846557542569752462475832017224505608170635738987957683321980985358718896501317706849789109575255169869513123863577100933449191207581808521664977921620102984196891531753973385983872955846040596893062975238037534463688184272670666582211018097826558648049423696433261151085380657949413974332450641429454341341048199173585427579075689810601316927879221083910812775260570220684755041185810
6469,9000000,12575426074945108533376229274645008360128001489430528996949579318776982783835283817270611722096509535819117403776630488560835271357579725831907407841543503108369688961711312523268972067230490349926211568440387537369144207186075941541888826802906362247167334773146321559915608299792105966587849673222533452869957700227858601461775037126877501459790814868594532295862486123620549481668560018640142897377480424413956733299466461857987048301010024243362265735461747891253351425470385913437946799510330719338084072451057392816343396315619574544171119106441035082627262966316376450042440680570979168262135689556665321768948422233728453643861385843598717989581466648597700806971953262156267469648107091836955328424344189924603125247160328479629507203471893067692735790307436362336109612143081094991657965490943156769680386824120502655715672804471740553895971728678748565647955058559309410729305354702299825868987661091945724898730304664290517513784165986512333596545793987448580925870126733821761829694112548817415019065183670343868620435699858521098861615352716400128943989115031837320277021506129310502693390822175225378138438030951184362700120251915454028868701682128457364025768032638781319533123600631672030524530840738765066628826592156788012784524700494809474365235007741320283651788315848371531777408494463314918281522568641283069774803473990158267923560330300323101869126164972027616816620132014408178138886059590073274346440319863658783148586455503967445159771328144390900690593126899226258227043250380108251302688609733897584740550474182157325729072819275832711167258750435765367889257421336043384872648246614795578507605688301697856300045448477927353083761281096849812421164293,2718957053856623450881627260716885276680194450489680899912866571525603001597702118425815018259799729077383999956287944478975896645807553050100704101425626246258110304493921809095961116778450876665439855428763713023267189241791148613193824153586017773239062810962913871914869846936628630041068403537879973528343803012845985958534310724852073031206887130992123813863706717622651929986942023782262638033261585407137044550546719687318127178922581794146134734957040683865417211342543104422322982881331517345846385836696407240083830327512476036889740281284779550173879084848076124284012913236091366786541992494684717819109124825093559899764072394691958607568388248254144866638080004290092576258557785110999375432437741410378444228410098455271933513973259137800052502344477568159152083545233613057976818842431542205989829391827059427062387185104125361994814408143284230987361159329501265586747839184822062239408295753139117276618777979883758276475367199482925480235136940608044725758019222624380491646374202755614186016981440331125068817862812909070059701030288277341110221973749863516064794163855156303661556023335541006203508693248303640386657340175591685974396339782967307294714350816797891229079900135136845835869668920407071730873744343082187585334885727277126461198701707116862506293768877160078606518631461311645613748564839693710005273523740037654624879351522107132462370551007170598129149944901245565774544797135284882296486490726382002527525516715794629390104356214926908162231721094458130001293986466201572154953009371883578431994002712626939442311347641996302147836411932929143685811863332876378623021436075361332269377225823105488317327993543363934571218716957646451416021620067218414665189297536225522111929809382391127582601728673241092509700743940691036569073299679353355409846557542569752462475832017224505608170635738987957683321980985358718896501317706849789109575255169869513123863577100933449191207581808521664977921620102984196891531753973385983872955846040596893062975238037534463688184272670666582211018097826558648049423696433261151085380657949413974332450641429454341341048199173585427579075689810601316927879221083910812775260570220684755041185810
6469,10000000,42629094253014803196298725141403700797131397138606510167487998179044265605925256375141025767683840665725684455795597446729444566681013167304923188488276858735054094465666960512727371980969086249094802134626543115611162397889838402474813696971031377609493420265150847006672541609342206270032397617410424484244867042789398606565364196572916074674779563933880527452293770682523727839606979370333330580448188151265158333463484322392191402473622290639712077705054854872721089416033530143549546192073317604090116066547311829435046467988993026557146323533674991837638876015863830876505791604693026083571104136051536290173146445314864229864563528406671045251234348797907773743214901229676217702590423327912839899092305989790014033303754344125240967611134404942876073253733216719091576770306495156031019826817902783912418516189553190974314397958760045893356328765530678361583552447609477783022617036340060566991293317214264617160098799948865283613497903815142700231770828308090297920309980016309102517564546802318567591214870701707365076257627863959551895758371013675708206464715320907048498702178168388706799355496640852193558858141284858537632694222664311323067350095191223761202176193948495521436098215053900107470085290071854852020201089005145923857074567075554658166998403840381789720159260340024269218993183440525648717694385296593048106622964286731879810985993260512208880299776729996833805762002885118578068916315290413042486567811491250016365004378222373227621384274085279967292740745235942285523399183079543877023963536128178507858495596516036709925257945087393649291840449570555839733066844524773790999348341300415231306705078707949707664961706783888778939195693683857260394271735552736891441605689812281998707635511054169560337894858541271155574463043775012699293372996007063952427549449411204799146818040491654640424260293,2718957053856623450881627260716885276680194450489680899912866571525603001597702118425815018259799729077383999956287944478975896645807553050100704101425626246258110304493921809095961116778450876665439855428763713023267189241791148613193824153586017773239062810962913871914869846936628630041068403537879973528343803012845985958534310724852073031206887130992123813863706717622651929986942023782262638033261585407137044550546719687318127178922581794146134734957040683865417211342543104422322982881331517345846385836696407240083830327512476036889740281284779550173879084848076124284012913236091366786541992494684717819109124825093559899764072394691958607568388248254144866638080004290092576258557785110999375432437741410378444228410098455271933513973259137800052502344477568159152083545233613057976818842431542205989829391827059427062387185104125361994814408143284230987361159329501265586747839184822062239408295753139117276618777979883758276475367199482925480235136940608044725758019222624380491646374202755614186016981440331125068817862812909070059701030288277341110221973749863516064794163855156303661556023335541006203508693248303640386657340175591685974396339782967307294714350816797891229079900135136845835869668920407071730873744343082187585334885727277126461198701707116862506293768877160078606518631461311645613748564839693710005273523740037654624879351522107132462370551007170598129149944901245565774544797135284882296486490726382002527525516715794629390104356214926908162231721094458130001293986466201572154953009371883578431994002712626939442311347641996302147836411932929143685811863332876378623021436075361332269377225823105488317327993543363934571218716957646451416021620067218414665189297536225522111929809382391127582601728673241092509700743940691036569073299679353355409846557542569752462475832017224505608170635738987957683321980985358718896501317706849789109575255169869513123863577100933449191207581808521664977921620102984196891531753973385983872955846040596893062975238037534463688184272670666582211018097826558648049423696433261151085380657949413974332450641429454341341048199173585427579075689810601316927879221083910812775260570220684755041185810
