10000,0,10000,0,10000
10000,609,15,282,14998375654
10001,0,10001,0,10001
10001,174,95,101,1048901560
10002,0,10002,0,10002
10002,55,3,34,1040488
10003,0,10003,0,10003
10003,80,3,35,1912816
10004,0,10004,0,10004
10004,24841,3,8742,1584501040885825247516269383276606260596188644090686861246721984228854
10005,0,10005,0,10005
10005,144,5,79,443962
10006,0,10006,0,10006
10006,67,3,44,4185394
10007,0,10007,0,10007
10007,20,3,1,30022
10008,0,10008,0,10008
10008,8791,69,5050,18613631505762221489632734293350539294190
10009,0,10009,0,10009
10009,182,95,109,1048901560
10010,0,10010,0,10010
10010,67,15,20,1826686
10011,0,10011,0,10011
10011,76,15,47,490708
10012,0,10012,0,10012
10012,33,579,20,1944784
10013,0,10013,0,10013
10013,4,9,1,30040
10014,0,10014,0,10014
10014,4863,95,1536,316543961673015595452410282449896545566
10015,0,10015,0,10015
10015,2,2721,1,30046
10016,0,10016,0,10016
10016,303,5,152,2099157400
10017,0,10017,0,10017
10017,4,45,1,30052
10018,0,10018,0,10018
10018,153,5,56,1989860122
10019,0,10019,0,10019
10019,18,5,1,30058
10020,0,10020,0,10020
10020,57,3,28,32213440
10021,0,10021,0,10021
10021,6,11,1,30064
10022,0,10022,0,10022
10022,403,1443,300,16680207930298306
10023,0,10023,0,10023
10023,168,95,95,1048901560
10024,0,10024,0,10024
10024,263,69,134,32959221562
10025,0,10025,0,10025
10025,10,27,1,30076
10026,0,10026,0,10026
10026,593,5,246,64518695207476
10027,0,10027,0,10027
10027,28,15,1,30082
10028,0,10028,0,10028
10028,105,11,42,132881122
10029,0,10029,0,10029
10029,4,153,1,30088
10030,0,10030,0,10030
10030,51,27,22,3559912
10031,0,10031,0,10031
10031,4,171,1,30094
10032,0,10032,0,10032
10032,3615,69,2124,351933373754549691437118086199966244733777500
10033,0,10033,0,10033
10033,10,3,1,30100
10034,0,10034,0,10034
10034,45,17,42,1026736
10035,0,10035,0,10035
10035,4,207,1,30106
10036,0,10036,0,10036
10036,449,11,196,65434934219416
10037,0,10037,0,10037
10037,4,225,1,30112
10038,0,10038,0,10038
10038,687,119,304,2121330834406
10039,0,10039,0,10039
10039,12,11,1,30118
10040,0,10040,0,10040
10040,2437,3,652,578319252008148001778788
10041,0,10041,0,10041
10041,18,3,1,30124
10042,0,10042,0,10042
10042,449,5,194,7407040143376
10043,0,10043,0,10043
10043,24,3,1,30130
10044,0,10044,0,10044
10044,307,5,110,2076877702
10045,0,10045,0,10045
10045,14,27,1,30136
10046,0,10046,0,10046
10046,13,5,10,262060
10047,0,10047,0,10047
10047,14,5,1,30142
10048,0,10048,0,10048
10048,15,5,10,261574
10049,0,10049,0,10049
10049,12,5,1,30148
10050,0,10050,0,10050
10050,35,39,10,261088
10051,0,10051,0,10051
10051,24,11,1,30154
10052,0,10052,0,10052
10052,11,1541,10,260602
10053,0,10053,0,10053
10053,18,95,1,30160
10054,0,10054,0,10054
10054,5425,9,2622,39264642684389352187055733771969908776
10055,0,10055,0,10055
10055,5410,9,2607,39264642684389352187055733771969908776
10056,0,10056,0,10056
10056,39,5,10,259630
10057,0,10057,0,10057
10057,316,29,135,247348798
10058,0,10058,0,10058
10058,49,5,10,259144
10059,0,10059,0,10059
10059,218,5,129,16045666
10060,0,10060,0,10060
10060,107619,5,50068,50239417651233061322188659925032309930285171481197808736691556765571217250490277698325321171566376685879458195944122703654320191017378965168450298176000
10061,0,10061,0,10061
10061,22,3,1,30184
10062,0,10062,0,10062
10062,61,69,10,258172
10063,0,10063,0,10063
10063,8,39,1,30190
10064,0,10064,0,10064
10064,63,5,10,257686
10065,0,10065,0,10065
10065,28,5,21,32104
10066,0,10066,0,10066
10066,75,15,44,451342
10067,0,10067,0,10067
10067,130,5,65,443962
10068,0,10068,0,10068
10068,13,95,10,256714
10069,0,10069,0,10069
10069,6,507,1,30208
10070,0,10070,0,10070
10070,87,15,10,256228
10071,0,10071,0,10071
10071,70,5,49,30646
10072,0,10072,0,10072
10072,185,15,78,14078770
10073,0,10073,0,10073
10073,164,5,47,7001686
10074,0,10074,0,10074
10074,329,29,148,247348798
10075,0,10075,0,10075
10075,16,11,1,30226
10076,0,10076,0,10076
10076,629,15,302,14998375654
10077,0,10077,0,10077
10077,24,5,1,30232
10078,0,10078,0,10078
10078,1235,11,450,123508759180991140
10079,0,10079,0,10079
10079,20,11,1,30238
10080,0,10080,0,10080
10080,27,9,10,253798
10081,0,10081,0,10081
10081,14,15,1,30244
10082,0,10082,0,10082
10082,103,3,72,3847786
10083,0,10083,0,10083
10083,52,15,1,30250
10084,0,10084,0,10084
10084,43,69,10,252826
10085,0,10085,0,10085
10085,8,29,1,30256
10086,0,10086,0,10086
10086,199,15,92,14078770
10087,0,10087,0,10087
10087,22,5,1,30262
10088,0,10088,0,10088
10088,29,27,10,251854
10089,0,10089,0,10089
10089,74,27,55,220750
10090,0,10090,0,10090
10090,31,3,10,251368
10091,0,10091,0,10091
10091,16,27,1,30274
10092,0,10092,0,10092
10092,67,5,34,514522
10093,0,10093,0,10093
10093,40,5,19,30646
10094,0,10094,0,10094
10094,31,47,10,250396
10095,0,10095,0,10095
10095,20,27,1,30286
10096,0,10096,0,10096
10096,927,5,566,34803408372562
10097,0,10097,0,10097
10097,670,15,343,14998375654
10098,0,10098,0,10098
10098,411,95,106,66664019248
10099,0,10099,0,10099
10099,34,5,13,30646
10100,0,10100,0,10100
10100,24617,3,8518,1584501040885825247516269383276606260596188644090686861246721984228854
10101,0,10101,0,10101
10101,24574,3,8475,1584501040885825247516269383276606260596188644090686861246721984228854
10102,0,10102,0,10102
10102,111,119,52,65139802
10103,0,10103,0,10103
10103,5394,9,2591,39264642684389352187055733771969908776
10104,0,10104,0,10104
10104,537,15,210,14998375654
10105,0,10105,0,10105
10105,22,95,15,65302
10106,0,10106,0,10106
10106,65,69,36,521326
10107,0,10107,0,10107
10107,96,27,41,28449370
10108,0,10108,0,10108
10108,31,9,10,246994
10109,0,10109,0,10109
10109,56,5,35,30646
10110,0,10110,0,10110
10110,91,3,60,3847786
10111,0,10111,0,10111
10111,78,5,57,30646
